gît	ʒi
val	val
pis	pi
rut	ʁyt
han	ɑ̃
hep	ɛp
rab	ʁab
dut	dy
pus	py
nim	nim
sis	si
lin	lɛ̃
rot	ʁo
net	nɛt
sus	sy
tex	tɛks
sut	sy
hot	ɔt
pif	pif
dus	dy
fût	fy
zob	zɔb
reg	ʁɛg
ris	ʁi
mât	ma
nus	ny
hit	it
fat	fat
tu	ty
dur	dyʁ
paf	paf
bi	bi
kif	kif
si	si
gal	gal
gi	ʒi
zig	zig
gun	gœn
vus	vy
nés	ne
mol	mɔl
han	ɑ̃
bit	bit
taf	taf
jà	ʒa
lu	ly
mob	mɔb
pus	py
zen	zɛn
mat	mat
bis	bis
gon	gon
bé	be
tif	tif
té	te
tag	tag
ras	ʁa
zip	zip
cil	sil
ban	bɑ̃
new	nju
wax	waks
ter	tɛʁ
dam	dɑ̃
bob	bɔb
pi	pi
tut	ty
lev	lɛv
ri	ʁi
dût	dy
far	faʁ
pis	pi
bug	bœg
gut	gyt
nec	nɛk
cop	kɔp
mam	mam
kip	kip
kir	kiʁ
hon	ɔ̃
hot	ɔt
not	nɔt
ras	ʁa
sec	sɛk
hom	ɔm
suc	syk
tap	tap
bim	bim
bus	by
dus	dy
pût	py
tan	tɑ̃
zeb	zɛb
dan	dan
mes	me
fox	fɔks
sen	sɛn
fît	fi
mil	mil
pat	pat
tin	tɛ̃
bic	bik
fez	fɛz
fol	fɔl
nef	nɛf
cab	kab
tus	ty
bot	bo
dom	dɔ̃
bis	bis
lez	lɛ
lut	ly
rez	ʁe
sax	saks
dol	dɔl
dît	di
lux	lyks
ran	ʁɑ̃
tus	ty
têt	tɛ
va	va
kot	kɔt
mir	miʁ
nem	nɛm
soc	sɔk
déc	dek
dig	dig
foc	fɔk
gal	gal
ka	ka
gan	gan
bis	bis
gis	ʒi
jap	ʒap
raz	ʁa
ron	ʁɔ̃
tab	tab
sub	syb
sur	syʁ
sic	sik
bop	bɔp
mû	my
tés	te
mus	my
rad	ʁad
dab	dab
lad	lad
toc	tɔk
ber	bœʁ
kil	kil
lem	lɛm
lus	ly
nib	nib
gig	ʒig
pep	pɛp
caf	kaf
lut	ly
mil	mil
pal	pal
ru	ʁy
bât	ba
cep	sɛp
jar	ʒaʁ
kan	kan
las	la
tek	tɛk
hun	ə
pad	pad
paf	paf
ram	ʁam
rus	ʁy
hem	ɛm
pât	pa
ses	se
sa	sa
lap	lap
sût	sy
ket	kɛt
rif	ʁif
tub	tœb
ses	se
jam	dʒam
mus	my
nap	nap
nil	nil
non	nɔ̃
cob	kɔb
faf	faf
lob	lɔb
rôt	ʁo
tél	tɛl
cis	si
déc	dek
jas	ʒa
nok	nɔk
tem	tɛm
tût	ty
vît	vi
bif	bif
lof	lɔf
lés	le
mon	mɔ̃
pat	pat
pus	py
réf	ʁef
tos	to
ver	vɛʁ
vêt	vɛ
bib	bib
bût	by
caf	kaf
dal	dal
fic	fik
fy	fi
gap	gap
lav	lav
lek	lɛk
mes	me
mod	mɔd
mos	mos
na	na
non	nɔ̃
pec	pɛk
rag	ʁag
rom	ʁɔm
tec	tɛk
to	to
tuf	tyf
var	vaʁ
zef	zɛf
boc	bɔk
gy	ʒi
hiv	aʃive
lur	luʁ
lès	lɛ
lût	ly
mod	mɔd
mît	mi
rac	ʁak
rep	ʁɛp
rît	ʁi
sar	saʁ
